pool_id,pool_name,protocol_id,protocol_name,network_id,network_name,base_asset_id,base_asset_ticker,base_interest_rate,is_investible,management_fee_rate,investment_status,available_capacity_dollar,available_capacity_token,cumulative_interest_earned_dollar,cumulative_interest_earned_token,cumulative_issued_amount_dollar,cumulative_issued_amount_token,cumulative_repaid_principal_dollar,cumulative_repaid_principal_token,defaulted_loans_amount_dollar,idle_capital_dollar,idle_capital_token,outstanding_principal_dollar,outstanding_principal_token
0x90040f96ab8f291b6d43a8972806e977631affde,BT3,2,Centrifuge,1,Ethereum,1635,DAI,7.6,false,0,open,54963557.69,54976314.44,0.00,0.00,164314794.28,164352930.88,66213263.25,66228631.00,0.00,0.00,0.00,98101531.04,98124299.89
0x55d86d51ac3bcab7ab7d2124931fba106c8b60c7,BT4,2,Centrifuge,1,Ethereum,1635,DAI,7.79,false,0,open,69983757.14,70000000.00,0.00,0.00,170234943.31,170274453.95,79921323.97,79939873.29,0.00,0.00,0.00,90313619.34,90334580.66
0x8481a6ebaf5c7dabc3f7e09e44a89531fd31f822,Goldfinch Senior Pool,1,Goldfinch,1,Ethereum,4,USDC,9.64,true,0,open,0.00,0.00,0.00,0.00,74294758.45,74303549.69,0.00,0.00,4273355.10,0.00,0.00,60943741.25,60950952.68
0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,High Yield Secured Lending Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,9.8,true,3.33,open,3022418.39,3022776.03,0.00,0.00,48879071.62,48884855.44,10417354.94,10418587.62,0.00,-497091.22,-497150.04,38461716.68,38466267.82
0xc1dd3f011290f212227170f0d02f511ebf57e433,Maple Direct USDC1,3,Maple,1,Ethereum,4,USDC,10.84,true,7.5,open,18907310.39,18909547.68,0.00,0.00,110015566.62,110028584.68,77049223.52,77058340.69,0.00,3561.39,3561.81,32966343.11,32970243.99
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,Syrup USDC,3,Maple,1,Ethereum,4,USDC,10.48,true,3.33,open,19735355.60,19737690.87,0.00,0.00,33321057.15,33325000.00,4899420.26,4900000.00,0.00,1964651.44,1964883.92,28421636.89,28425000.00
0x53b2d22d07e069a3b132bfeaad275b10273d381e,New Silver 2,2,Centrifuge,1,Ethereum,1635,DAI,8.48,false,0,open,7026345.25,7027976.03,0.00,0.00,154565723.39,154601597.29,126415902.80,126445243.26,0.00,0.00,0.00,28149820.60,28156354.02
0xfe119e9c24ab79f1bdd5dd884b86ceea2ee75d92,Maple Cash USDC1,3,Maple,1,Ethereum,4,USDC,4.88,true,0,open,978445599.58,978561378.29,0.00,0.00,65513462.62,65521214.78,43151877.99,43156984.12,0.00,2343.03,2343.31,22361584.63,22364230.66
0xe9d33286f0e37f517b1204aa6da085564414996d,AQRU Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,15.11,true,10,full,-18880276.55,-18882510.64,0.00,0.00,32316793.29,32320617.31,10077653.78,10078846.26,0.00,-120328.70,-120342.94,22239139.51,22241771.05
0x09e43329552c9d81cf205fd5f44796fbc40c822e,REIF Pool,2,Centrifuge,1,Ethereum,1635,DAI,9.53,false,0,full,0.00,0.00,0.00,0.00,9322836.22,9325000.00,419903.03,420000.49,11394775.82,0.00,0.00,8902933.19,8904999.51
0x560ac248ce28972083b718778eeb0dbc2de55740,Branch Series 3,2,Centrifuge,1,Ethereum,1635,DAI,13.1,false,0,open,3999071.84,4000000.00,0.00,0.00,7440085.86,7441812.66,0.00,0.00,823067.79,0.00,0.00,7440085.86,7441812.66
0x3b03863bd553c4ce07eabf2278016533451c9101,Cauris Global Fintech 1,2,Centrifuge,1,Ethereum,1635,DAI,11.33,false,0,full,0.00,0.00,0.00,0.00,7501500.66,7503241.71,326349.13,326424.88,0.00,0.00,0.00,7175151.52,7176816.84
0x6174a27160f4d7885db4ffed1c0b5fbd66c87f3a,Opportunistic High Yield Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,12.5,true,9.5,open,2131769.66,2132021.91,0.00,0.00,5159389.49,5160000.00,0.00,0.00,0.00,34541.23,34545.32,5159389.49,5160000.00
0xf96f18f2c70b57ec864cc0c8b828450b82ff63e3,ALT 1.0,2,Centrifuge,1,Ethereum,1635,DAI,13.82,false,0,open,6998375.71,7000000.00,0.00,0.00,7118347.87,7120000.00,1968043.24,1968500.01,5424362.26,0.00,0.00,5150304.63,5151499.99
0x0ced6166873038ac0cc688e7e6d19e2cbe251bf0,Bling Series 1,2,Centrifuge,1,Ethereum,1635,DAI,7.8,false,0,full,0.00,0.00,0.00,0.00,18924106.07,18928498.25,14443419.55,14446771.79,5135352.49,0.00,0.00,4480686.52,4481726.46
0x4b6ca198d257d755a5275648d471fe09931b764a,Fortunafi 1,2,Centrifuge,1,Ethereum,1635,DAI,11.13,false,0,open,2743754.76,2744391.57,0.00,0.00,13572049.00,13575199.00,9176529.81,9178659.64,5446106.35,0.00,0.00,4395519.19,4396539.36
0x4ca805ce8ece2e63ffc1f9f8f2731d3f48df89df,Harbor Trade 2,2,Centrifuge,1,Ethereum,1635,DAI,9.5,false,0,full,0.00,0.00,0.00,0.00,19148368.45,19152812.69,17593872.50,17597955.94,2135145.00,0.00,0.00,1554495.96,1554856.75
0xdb3bc9fb1893222d266762e9ff857eb74d75c7d6,ConsolFreight 4,2,Centrifuge,1,Ethereum,1635,DAI,9,false,0,full,0.00,0.00,0.00,0.00,41776165.13,41785861.16,40579582.04,40589000.35,2166138.70,436645.77,436747.11,1196583.09,1196860.81
0xccbc525ed9d85ad8325b7b6c4c6a79f5566dea3b,High Yield Corporate Loan Maple Pool WETH1,3,Maple,1,Ethereum,786,wETH,8.25,true,3.82,open,1110769.95,423.44,0.00,0.00,862381.33,328.75,0.00,0.00,0.00,10241.47,3.90,862381.33,328.75
0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,Maven 11 - USDC 01,3,Maple,1,Ethereum,4,USDC,11.27,true,0.1,full,-426235465.94,-426285902.05,0.00,0.00,550184898.30,550250001.25,519188566.07,519250001.25,30996332.23,441822405.47,441874685.97,0.00,0.00
0xfebd6f15df3b73dc4307b1d7e65d46413e710c27,Orthogonal Trading - USDC01,3,Maple,1,Ethereum,4,USDC,7.6,true,0.1,full,-429137238.68,-429188018.15,0.00,0.00,579925837.72,579994459.90,569927020.88,569994459.90,9998816.85,446851465.42,446904341.01,0.00,0.00
0xcc8058526de295c6ad917cb41416366d69a24cde,Maven 11 - USDC (Permissioned),3,Maple,1,Ethereum,4,USDC,13,true,0.1,full,-56993553.73,-57000297.73,0.00,0.00,63158491.57,63165965.07,55659378.94,55665965.07,7499112.64,58238309.86,58245201.16,0.00,0.00
0x82b8617a16e388256617febba1826093401a3fe5,Paperchain 3,2,Centrifuge,1,Ethereum,1635,DAI,7,false,0,full,0.00,0.00,0.00,0.00,585591.98,585727.89,594721.09,594859.12,0.00,10908.61,10911.14,0.00,0.00
0xd3cd37a7299b963bbc69592e5ba933388f70dc88,M11 Credit Maple Pool USDC2,3,Maple,1,Ethereum,4,USDC,0,true,13.5,full,-29343428.88,-29346901.07,0.00,0.00,14448290.35,14450000.00,14448290.35,14450000.00,0.00,30509263.85,30512873.99,0.00,0.00
0xf025edfa685c9ea873ea4b22da85e7e1fba24381,Osprey Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,0,true,0,open,100192800.30,100204656.03,0.00,0.00,8132807.89,8133770.24,8132807.89,8133770.24,0.00,-16868.65,-16870.65,0.00,0.00
0x714d520cfac2027834c8af8ffc901855c3ad41ec,FactorChain 1,2,Centrifuge,1,Ethereum,1635,DAI,11,false,0,open,2499.42,2500.00,0.00,0.00,1999.54,2000.00,2007.80,2008.26,0.00,0.00,0.00,0.00,0.00
0x3d167bd08f762fd391694c67b5e6af0868c45538,GIG Pool,2,Centrifuge,1,Ethereum,1635,DAI,5,false,0,open,0.65,0.65,0.00,0.00,17353307.18,17357334.79,17570555.80,17574633.83,0.00,5338.12,5339.35,0.00,0.00
0x00e0c1ea2085e30e5233e98cfa940ca8cbb1b0b7,M11 Credit Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,0,true,13.5,open,365859.01,365902.30,0.00,0.00,3486832.60,3487245.19,3486832.60,3487245.19,0.00,-201439.95,-201463.78,0.00,0.00
0x228b210885e233cb538808900f50e054bdd61e54,AQRU,3,Maple,1,Ethereum,4,USDC,,true,12.5,full,-9.00,-9.00,0.00,0.00,,,0.00,0.00,0.00,10.00,10.00,0.00,0.00
0x92332a9831ac04275bc0f22b9140b21c72984eb8,Pezesha 1,2,Centrifuge,1,Ethereum,1635,DAI,14,false,0,full,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45039.55,45050.00,0.00,0.00
0x3170d353772ed68676044f8b76f0641b2cba084e,Fortunafi 2,2,Centrifuge,1,Ethereum,1635,DAI,3.44,false,0,full,0.00,0.00,0.00,0.00,1249709.95,1250000.00,1310808.49,1311112.72,0.00,7.77,7.77,0.00,0.00
0x3e701d29fcb8747b5c3f88649397d88fff9bd3e9,Alameda Research - USDC,3,Maple,1,Ethereum,4,USDC,0,true,0,full,-177831960.68,-177853003.40,0.00,0.00,288226684.36,288260790.00,288226684.36,288260790.00,0.00,182889052.43,182910693.55,0.00,0.00
0xfff9a1caf78b2e5b0a49355a8637ea78b43fb6c3,M11 Credit Maple Pool WETH1,3,Maple,1,Ethereum,786,wETH,0,true,13.5,open,5341999.18,2036.46,0.00,0.00,13059507.79,4978.51,13059507.79,4978.51,0.00,9628282.93,3670.47,0.00,0.00
0xf05681a33a9adf14076990789a89ab3da3f6b536,Maple Cash USDT1,3,Maple,1,Ethereum,1,USDT,0,true,0,open,100013540.78,100007615.62,0.00,0.00,612507.68,612471.39,612507.68,612471.39,0.00,50.28,50.27,0.00,0.00
0xfc2950dd337ca8496c18dfc0256fb905a7e7e5c6,databased.FINANCE 1,2,Centrifuge,1,Ethereum,1635,DAI,10.04,false,0,open,599860.14,599999.37,0.00,0.00,6087978.52,6089391.51,6168988.74,6170420.53,159725.56,0.63,0.63,0.00,0.00
0x9de3064f49696a25066252c35ede68850ea33bf8,UP Series 1,2,Centrifuge,1,Ethereum,1635,DAI,6,false,0,open,999767.96,1000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0xa1fe1b5fc23c2dab0c28d4cc09021014f30be8f1,Celsius wETH Pool,3,Maple,1,Ethereum,786,wETH,0,true,0,open,624763.52,238.17,0.00,0.00,38809860.40,14795.00,38809860.40,14795.00,0.00,0.00,0.00,0.00,0.00
0xd8486c565098360a24f858088a6d29a380ddf7ec,FNO1,2,Centrifuge,1,Ethereum,1635,DAI,73.83,false,0,full,0.00,0.00,0.00,0.00,1689606.85,1689999.00,1746436.54,1746841.87,543373.48,0.00,0.00,0.00,0.00
0x4597f91cc06687bdb74147c80c097a79358ed29b,BT1,2,Centrifuge,1,Ethereum,1635,DAI,4,false,0,open,19995359.18,20000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0xb5c08534d1e73582fbd79e7c45694cad6a5c5ab2,BT2,2,Centrifuge,1,Ethereum,1635,DAI,4,false,0,open,29993038.77,30000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0x79400a2c9a5e2431419cac98bf46893c86e8bdd7,Orthogonal Credit Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,,true,0,full,-289036.96,-289071.16,0.00,0.00,,,0.00,0.00,0.00,289036.96,289071.16,0.00,0.00
0x356b8d89c1e1239cbbb9de4815c39a1474d5ba7d,Syrup USDT,3,Maple,1,Ethereum,1,USDT,,true,3.33,open,10000588.47,9999996.00,0.00,0.00,,,0.00,0.00,0.00,4.00,4.00,0.00,0.00
0xd2b01f8327eeca47829efc731f1a89c6d07e6b92,M11 Credit Maple Pool USDC3,3,Maple,1,Ethereum,4,USDC,0,true,11.5,open,10060658.74,10061849.21,0.00,0.00,3499585.90,3500000.00,3499585.90,3500000.00,0.00,0.10,0.10,0.00,0.00
0xd618d93676762a8e3107554d9adbff7dfd7fbf47,BlockTower Capital - USDC01,3,Maple,1,Ethereum,4,USDC,0,true,0,full,-46893944.23,-46899493.15,0.00,0.00,84989943.21,85000000.00,84989943.21,85000000.00,0.00,49994084.24,50000000.00,0.00,0.00
0x235893bf9695f68a922dac055598401d832b538b,Pezesha 1,2,Centrifuge,1,Ethereum,1635,DAI,14,false,0,open,99976.80,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0x733f56782d21b403e5ee9c8343645e1535f73cd4,Icebreaker Finance - USDC,3,Maple,1,Ethereum,4,USDC,0,true,0.2,full,-5649331.52,-5650000.00,0.00,0.00,5649331.52,5650000.00,5649331.52,5650000.00,0.00,5649331.52,5650000.00,0.00,0.00
0x137f2ea5cfb0fe59408bab2779e33ee868f1810e,Icebreaker Maple Pool USDC1,3,Maple,1,Ethereum,4,USDC,,true,20,full,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0x1a066b0109545455bc771e49e6edef6303cb0a93,Maven 11 wETH Pool,3,Maple,1,Ethereum,786,wETH,6.41,true,0.1,open,1464365.14,558.24,0.00,0.00,141060206.96,53774.63,108795165.87,41474.63,32265041.09,280898.92,107.08,-0.00,-0.00
FKspd43n91ZqvEGWfSGBiG72F2t1Vuumj2zaG1z6nwbF,credix-marketplace,4,Credix,2,Solana,,,14.24,true,0,open,,,,0.00,,40223385.08,,22348503.16,,,1425128.36,,17874881.92
0xd020c197497db6db12cff97a8575451c6faa54b3,Laser Maple Pool USDC.k1,3,Maple,1,Ethereum,,,0,true,0,open,,25000.00,,0.00,,25000.00,,25000.00,,,0.00,,0.00