,ETH Price,BTC Price,ETH_Comp,BTC_Comp,ETH_Value,BTC_Value,Total_Value,ETH_Percentage,BTC_Percentage
2024-08-25 18:00:00,2765.96,63935.0,44.63944627271942,0.0,123470.922812491,0.0,123470.922812491,100.0,0.0
2024-08-25 19:00:00,2770.56,63985.0,44.63944627271942,0.0,123676.26426534551,0.0,123676.26426534551,100.0,0.0
2024-08-25 20:00:00,2767.07,63930.0,44.63944627271942,0.0,123520.47259785373,0.0,123520.47259785373,100.0,0.0
2024-08-25 21:00:00,2768.27,64117.0,44.63944627271942,0.0,123574.03993338098,0.0,123574.03993338098,100.0,0.0
2024-08-25 22:00:00,2771.87,64118.0,44.63944627271942,0.0,123734.74193996277,0.0,123734.74193996277,100.0,0.0
2024-08-25 23:00:00,2778.68,64265.0,44.63944627271942,0.0,124038.73656907999,0.0,124038.73656907999,100.0,0.0
2024-08-26 00:00:00,2767.56,64308.0,16.059674688624636,1.2376784381414443,44446.11328124999,79592.625,124038.73828125,35.83244549011071,64.16755450988929
2024-08-26 01:00:00,2746.97,64143.0,16.059674688624636,1.2376784381414443,44115.44457941121,79388.40805770666,123503.85263711787,35.719893458734695,64.2801065412653
2024-08-26 02:00:00,2752.98,63999.0,16.059674688624636,1.2376784381414443,44211.96322428985,79210.18236261429,123422.14558690414,35.82174253579093,64.17825746420907
2024-08-26 03:00:00,2748.08,63871.0,16.059674688624636,1.2376784381414443,44133.270818315585,79051.75952253219,123185.03034084776,35.826813287459274,64.17318671254073
2024-08-26 04:00:00,2738.73,63780.0,16.059674688624636,1.2376784381414443,43983.11285997695,78939.13078466132,122922.24364463828,35.78124801165345,64.21875198834654
2024-08-26 05:00:00,2744.91,63907.0,16.059674688624636,1.2376784381414443,44082.361649552644,79096.31594630529,123178.67759585794,35.78733146834414,64.21266853165585
2024-08-26 06:00:00,2748.87,63920.0,16.059674688624636,1.2376784381414443,44145.957961319604,79112.40576600112,123258.36372732071,35.815791015189724,64.18420898481028
2024-08-26 07:00:00,2746.54,63819.0,16.059674688624636,1.2376784381414443,44108.538919295104,78987.40024374884,123095.93916304395,35.83265152303045,64.16734847696955
2024-08-26 08:00:00,2738.26,63581.0,16.059674688624636,1.2376784381414443,43975.5648128733,78692.83277547116,122668.39758834447,35.84913936876249,64.1508606312375
2024-08-26 09:00:00,2739.74,63509.0,16.059674688624636,1.2376784381414443,43999.33313141246,78603.71992792499,122603.05305933746,35.88763251280345,64.11236748719654
2024-08-26 10:00:00,2737.07,63507.0,16.059674688624636,1.2376784381414443,43956.45379999383,78601.24457104871,122557.69837104254,35.86592632224211,64.1340736777579
2024-08-26 11:00:00,2746.15,63562.0,16.059674688624636,1.2376784381414443,44102.27564616655,78669.31688514649,122771.59253131304,35.92221517768307,64.07778482231691
2024-08-26 12:00:00,2736.61,63648.0,16.059674688624636,1.2376784381414443,43949.06634963707,78775.75723082665,122724.82358046372,35.811065004972,64.188934995028
2024-08-26 13:00:00,2742.27,63751.0,16.059674688624636,1.2376784381414443,44039.96410837468,78903.23810995521,122943.2022183299,35.821390132791464,64.17860986720854
2024-08-26 14:00:00,2729.1,63349.0,16.059674688624636,1.2376784381414443,43828.45819272549,78405.69137782235,122234.14957054784,35.856148504088665,64.14385149591133
2024-08-26 15:00:00,2722.26,63490.0,16.059674688624636,1.2376784381414443,43718.6100178553,78580.2040376003,122298.8140554556,35.74737036945541,64.25262963054459
2024-08-26 16:00:00,2719.89,63274.0,16.059674688624636,1.2376784381414443,43680.54858884326,78312.86549496175,121993.41408380501,35.80566124564423,64.19433875435577
2024-08-26 17:00:00,2721.81,63463.0,16.059674688624636,1.2376784381414443,43711.38316424542,78546.78671977048,122258.1698840159,35.75334327817406,64.24665672182594
2024-08-26 18:00:00,2729.85,63497.0,16.059674688624636,1.2376784381414443,43840.50294874196,78588.8677866673,122429.37073540926,35.80881179524214,64.19118820475785
2024-08-26 19:00:00,2692.31,63230.0,16.059674688624636,1.2376784381414443,43237.62276093099,78258.40764368352,121496.03040461452,35.58768349627396,64.41231650372603
2024-08-26 20:00:00,2698.55,63446.0,16.059674688624636,1.2376784381414443,43337.835130988016,78525.74618632208,121863.5813173101,35.56258125891143,64.43741874108856
2024-08-26 21:00:00,2685.59,63191.0,16.059674688624636,1.2376784381414443,43129.701747023435,78210.13818459601,121339.83993161944,35.54455137844998,64.45544862155003
2024-08-26 22:00:00,2689.15,62738.0,16.059674688624636,1.2376784381414443,43186.87418891494,77649.46985211794,120836.34404103288,35.739970893400915,64.26002910659909
2024-08-26 23:00:00,2688.44,62994.0,16.059674688624636,1.2376784381414443,43175.471819886014,77966.31553228214,121141.78735216815,35.6404447743302,64.35955522566981
2024-08-27 00:00:00,2685.92,62893.0,16.059674688624636,1.2376784381414443,43135.00143967068,77841.31001002986,120976.31144970054,35.65574195705688,64.34425804294312
2024-08-27 01:00:00,2689.36,62766.0,16.059674688624636,1.2376784381414443,43190.24672059955,77684.1248483859,120874.37156898544,35.731517078415585,64.26848292158441
2024-08-27 02:00:00,2678.06,62635.0,16.059674688624636,1.2376784381414443,43008.77239661809,77521.98897298936,120530.76136960745,35.68281815190044,64.31718184809955
2024-08-27 03:00:00,2689.47,62940.0,16.059674688624636,1.2376784381414443,43192.01328481529,77899.48089662251,121091.4941814378,35.668907693961074,64.33109230603893
2024-08-27 04:00:00,2677.81,62840.0,16.059674688624636,1.2376784381414443,43004.75747794593,77775.71305280837,120780.4705307543,35.60572109792836,64.39427890207163
2024-08-27 05:00:00,2683.44,62838.0,16.059674688624636,1.2376784381414443,43095.173446442896,77773.23769593208,120868.41114237497,35.65462062348089,64.34537937651912
2024-08-27 06:00:00,2687.01,62984.0,16.059674688624636,1.2376784381414443,43152.506485081285,77953.93874790073,121106.44523298202,35.63188268144227,64.36811731855772
2024-08-27 07:00:00,2695.32,63054.0,16.059674688624636,1.2376784381414443,43285.96238174375,78040.57623857063,121326.53862031439,35.677241660379934,64.32275833962007
2024-08-27 08:00:00,2678.04,62678.0,16.059674688624636,1.2376784381414443,43008.45120312432,77575.20914582945,120583.66034895377,35.666898051247856,64.33310194875214
2024-08-27 09:00:00,2688.72,62770.0,16.059674688624636,1.2376784381414443,43179.968528798825,77689.07556213846,120869.04409093728,35.72458842010189,64.2754115798981
2024-08-27 10:00:00,2687.56,62691.0,16.059674688624636,1.2376784381414443,43161.33930616002,77591.29896552529,120752.63827168531,35.743599414407754,64.25640058559225
2024-08-27 11:00:00,2646.41,62254.0,16.059674688624636,1.2376784381414443,42500.48369272312,77050.43348805748,119550.9171807806,35.550110944322924,64.44988905567706
2024-08-27 12:00:00,2632.02,62090.0,16.059674688624636,1.2376784381414443,42269.38497395381,76847.45422420227,119116.83919815609,35.48565027286934,64.51434972713066
2024-08-27 13:00:00,2629.11,62354.0,16.059674688624636,1.2376784381414443,42222.65132060992,77174.20133187162,119396.85265248154,35.36328670530694,64.63671329469307
2024-08-27 14:00:00,2616.86,62253.0,16.059674688624636,1.2376784381414443,42025.92030567427,77049.19580961933,119075.1161152936,35.29362109962839,64.7063789003716
2024-08-27 15:00:00,2612.47,62191.0,16.059674688624636,1.2376784381414443,41955.418333791196,76972.45974645457,118927.87808024576,35.27803489900162,64.72196510099837
2024-08-27 16:00:00,2587.57,61838.0,16.059674688624636,1.2376784381414443,41555.53243404445,76535.55925779064,118091.09169183508,35.18938798744091,64.81061201255909
2024-08-27 17:00:00,2581.39,61558.0,16.059674688624636,1.2376784381414443,41456.28364446875,76189.00929511103,117645.29293957978,35.23837002621078,64.76162997378921
2024-08-27 18:00:00,2567.85,61485.0,16.059674688624636,1.2376784381414443,41238.835649184766,76098.6587691267,117337.49441831147,35.14548853597228,64.85451146402772
2024-08-27 19:00:00,2583.42,61702.0,16.059674688624636,1.2376784381414443,41488.88478408666,76367.23499020339,117856.11977429004,35.20299570658132,64.7970042934187
2024-08-27 20:00:00,2582.64,62020.0,16.059674688624636,1.2376784381414443,41476.358237829525,76760.81673353238,118237.1749713619,35.07894894129149,64.92105105870851
2024-08-27 21:00:00,2583.57,61901.0,16.059674688624636,1.2376784381414443,41491.29373528995,76613.53299939354,118104.8267346835,35.13090436896202,64.86909563103798
2024-08-27 22:00:00,2584.65,61768.0,16.059674688624636,1.2376784381414443,41508.63818395367,76448.92176712073,117957.55995107439,35.18946831485013,64.81053168514987
2024-08-27 23:00:00,2479.41,60230.0,16.059674688624636,1.2376784381414443,39818.518019722804,74545.37232925919,114363.890348982,34.81738676274163,65.18261323725838
2024-08-28 00:00:00,2455.87,59344.0,46.56756694165408,0.0,114363.890625,0.0,114363.890625,100.0,0.0
2024-08-28 01:00:00,2457.58,59539.0,46.56756694165408,0.0,114443.52116447022,0.0,114443.52116447022,100.0,0.0
2024-08-28 02:00:00,2441.4,59083.0,46.56756694165408,0.0,113690.05793135427,0.0,113690.05793135427,100.0,0.0
2024-08-28 03:00:00,2444.03,59331.0,46.56756694165408,0.0,113812.53063241082,0.0,113812.53063241082,100.0,0.0
2024-08-28 04:00:00,2457.69,59214.0,46.56756694165408,0.0,114448.64359683382,0.0,114448.64359683382,100.0,0.0
2024-08-28 05:00:00,2478.03,59575.0,46.56756694165408,0.0,115395.82790842706,0.0,115395.82790842706,100.0,0.0
2024-08-28 06:00:00,2472.5,59332.0,46.56756694165408,0.0,115138.3092632397,0.0,115138.3092632397,100.0,0.0
2024-08-28 07:00:00,2470.22,59317.0,46.56756694165408,0.0,115032.13521061273,0.0,115032.13521061273,100.0,0.0
2024-08-28 08:00:00,2464.32,59118.0,46.56756694165408,0.0,114757.38656565698,0.0,114757.38656565698,100.0,0.0
2024-08-28 09:00:00,2439.82,58695.0,46.56756694165408,0.0,113616.48117558646,0.0,113616.48117558646,100.0,0.0
2024-08-28 10:00:00,2462.99,59128.0,46.56756694165408,0.0,114695.45170162457,0.0,114695.45170162457,100.0,0.0
2024-08-28 11:00:00,2507.2,59741.0,46.56756694165408,0.0,116754.20383611509,0.0,116754.20383611509,100.0,0.0
2024-08-28 12:00:00,2521.85,59742.0,46.56756694165408,0.0,117436.41869181034,0.0,117436.41869181034,100.0,0.0
2024-08-28 13:00:00,2526.78,59858.0,46.56756694165408,0.0,117665.9967968327,0.0,117665.9967968327,100.0,0.0
2024-08-28 14:00:00,2530.06,59945.0,46.56756694165408,0.0,117818.73841640132,0.0,117818.73841640132,100.0,0.0
2024-08-28 15:00:00,2505.99,59742.0,46.56756694165408,0.0,116697.85708011569,0.0,116697.85708011569,100.0,0.0
2024-08-28 16:00:00,2500.07,59099.0,46.56756694165408,0.0,116422.17708382112,0.0,116422.17708382112,100.0,0.0
2024-08-28 17:00:00,2496.53,58778.0,46.56756694165408,0.0,116257.32789684767,0.0,116257.32789684767,100.0,0.0
2024-08-28 18:00:00,2510.78,58792.0,46.56756694165408,0.0,116920.91572576623,0.0,116920.91572576623,100.0,0.0
2024-08-28 19:00:00,2507.59,58647.0,46.56756694165408,0.0,116772.36518722236,0.0,116772.36518722236,100.0,0.0
2024-08-28 20:00:00,2539.52,59057.0,46.56756694165408,0.0,118259.26759966936,0.0,118259.26759966936,100.0,0.0
2024-08-28 21:00:00,2519.01,59196.0,46.56756694165408,0.0,117304.16680169605,0.0,117304.16680169605,100.0,0.0
2024-08-28 22:00:00,2532.59,59124.0,46.56756694165408,0.0,117936.55436076371,0.0,117936.55436076371,100.0,0.0
2024-08-28 23:00:00,2537.64,59264.0,46.56756694165408,0.0,118171.72057381905,0.0,118171.72057381905,100.0,0.0
2024-08-29 00:00:00,2529.01,58910.0,46.56756694165408,0.0,117769.84247111258,0.0,117769.84247111258,100.0,0.0
2024-08-29 01:00:00,2527.39,59005.0,46.56756694165408,0.0,117694.4030126671,0.0,117694.4030126671,100.0,0.0
2024-08-29 02:00:00,2530.23,59087.0,46.56756694165408,0.0,117826.6549027814,0.0,117826.6549027814,100.0,0.0
2024-08-29 03:00:00,2524.38,58977.0,46.56756694165408,0.0,117554.23463617273,0.0,117554.23463617273,100.0,0.0
2024-08-29 04:00:00,2528.69,59058.0,46.56756694165408,0.0,117754.94084969125,0.0,117754.94084969125,100.0,0.0
2024-08-29 05:00:00,2525.38,59076.0,46.56756694165408,0.0,117600.80220311438,0.0,117600.80220311438,100.0,0.0
2024-08-29 06:00:00,2524.45,59112.0,46.56756694165408,0.0,117557.49436585863,0.0,117557.49436585863,100.0,0.0
2024-08-29 07:00:00,2540.63,59421.0,46.56756694165408,0.0,118310.95759897461,0.0,118310.95759897461,100.0,0.0
2024-08-29 08:00:00,2555.23,59738.0,46.56756694165408,0.0,118990.84407632276,0.0,118990.84407632276,100.0,0.0
2024-08-29 09:00:00,2550.92,59623.0,46.56756694165408,0.0,118790.13786280423,0.0,118790.13786280423,100.0,0.0
2024-08-29 10:00:00,2553.25,59473.0,46.56756694165408,0.0,118898.64029377827,0.0,118898.64029377827,100.0,0.0
2024-08-29 11:00:00,2548.95,59597.0,46.56756694165408,0.0,118698.39975592916,0.0,118698.39975592916,100.0,0.0
2024-08-29 12:00:00,2540.16,59573.0,46.56756694165408,0.0,118289.07084251201,0.0,118289.07084251201,100.0,0.0
2024-08-29 13:00:00,2557.4,60174.0,46.56756694165408,0.0,119091.89569658614,0.0,119091.89569658614,100.0,0.0
2024-08-29 14:00:00,2570.52,60286.0,46.56756694165408,0.0,119702.86217486064,0.0,119702.86217486064,100.0,0.0
2024-08-29 15:00:00,2567.02,60249.0,46.56756694165408,0.0,119539.87569056485,0.0,119539.87569056485,100.0,0.0
2024-08-29 16:00:00,2566.57,60726.0,46.56756694165408,0.0,119518.92028544111,0.0,119518.92028544111,100.0,0.0
2024-08-29 17:00:00,2576.88,60797.0,46.56756694165408,0.0,119999.03190060957,0.0,119999.03190060957,100.0,0.0
2024-08-29 18:00:00,2564.36,60204.0,46.56756694165408,0.0,119416.00596250006,0.0,119416.00596250006,100.0,0.0
2024-08-29 19:00:00,2580.09,60568.0,46.56756694165408,0.0,120148.51379049227,0.0,120148.51379049227,100.0,0.0
2024-08-29 20:00:00,2516.95,58992.0,46.56756694165408,0.0,117208.23761379623,0.0,117208.23761379623,100.0,0.0
2024-08-29 21:00:00,2524.52,59355.0,46.56756694165408,0.0,117560.75409554456,0.0,117560.75409554456,100.0,0.0
2024-08-29 22:00:00,2534.38,59375.0,46.56756694165408,0.0,118019.91030558926,0.0,118019.91030558926,100.0,0.0
2024-08-29 23:00:00,2532.06,59474.0,46.56756694165408,0.0,117911.87355028462,0.0,117911.87355028462,100.0,0.0
2024-08-30 00:00:00,2523.4,59156.0,46.56756694165408,0.0,117508.5984205699,0.0,117508.5984205699,100.0,0.0
2024-08-30 01:00:00,2527.22,59324.0,8.731144671813297,1.6088441492903378,22065.5234375,95443.0703125,117508.59375,18.777795506977547,81.22220449302246
2024-08-30 02:00:00,2524.64,59299.0,8.731144671813297,1.6088441492903378,22042.997084246723,95402.84920876774,117445.84629301447,18.768647661878028,81.23135233812197
2024-08-30 03:00:00,2525.25,59125.0,8.731144671813297,1.6088441492903378,22048.32308249653,95122.91032679123,117171.23340928776,18.817181010188833,81.18281898981117
2024-08-30 04:00:00,2517.09,59048.0,8.731144671813297,1.6088441492903378,21977.076941974534,94999.02932729587,116976.1062692704,18.787663261234663,81.21233673876533
2024-08-30 05:00:00,2519.95,59018.0,8.731144671813297,1.6088441492903378,22002.048015735916,94950.76400281716,116952.81201855307,18.812756731531664,81.18724326846834
2024-08-30 06:00:00,2520.19,58964.0,8.731144671813297,1.6088441492903378,22004.143490457154,94863.88641875547,116868.02990921262,18.82819750409995,81.17180249590005
2024-08-30 07:00:00,2513.57,58806.0,8.731144671813297,1.6088441492903378,21946.34331272975,94609.6890431676,116556.03235589735,18.829006846868136,81.17099315313186
2024-08-30 08:00:00,2527.94,59147.0,8.731144671813297,1.6088441492903378,22071.809861663707,95158.30489807561,117230.11475973931,18.82776444167049,81.17223555832952
2024-08-30 09:00:00,2518.38,59278.0,8.731144671813297,1.6088441492903378,21988.340118601172,95369.06348163265,117357.40360023383,18.736218972176854,81.26378102782314
2024-08-30 10:00:00,2519.21,59334.0,8.731144671813297,1.6088441492903378,21995.586968678777,95459.1587539929,117454.74572267168,18.726860999396028,81.27313900060396
2024-08-30 11:00:00,2525.02,59499.0,8.731144671813297,1.6088441492903378,22046.31491922201,95724.6180386258,117770.93295784782,18.719657190040902,81.2803428099591
2024-08-30 12:00:00,2518.02,59497.0,8.731144671813297,1.6088441492903378,21985.19690651932,95721.40035032723,117706.59725684655,18.677964888022043,81.32203511197795
2024-08-30 13:00:00,2513.91,59415.0,8.731144671813297,1.6088441492903378,21949.311901918165,95589.47513008543,117538.78703200359,18.67410108285513,81.32589891714488
2024-08-30 14:00:00,2523.22,59537.0,8.731144671813297,1.6088441492903378,22030.598858812744,95785.75411629885,117816.3529751116,18.699101018231868,81.30089898176813
2024-08-30 15:00:00,2522.27,59244.0,8.731144671813297,1.6088441492903378,22022.304271374524,95314.36278055677,117336.66705193129,18.76847606522504,81.23152393477496
2024-08-30 16:00:00,2482.25,58809.0,8.731144671813297,1.6088441492903378,21672.883861608556,94614.51557561547,116287.39943722403,18.63734503178767,81.36265496821234
2024-08-30 17:00:00,2447.92,58136.0,8.731144671813297,1.6088441492903378,21373.143665025207,93531.76346314308,114904.9071281683,18.600723153785744,81.39927684621425
